museum,title,raw_text,year,period,url
Pushkin Museum,"«В конце пребывает начало. Тайное братство Тинторетто». Венеция, церковь Сан-Фантин","«В конце пребывает начало. Тайное братство Тинторетто». Венеция, церковь Сан-Фантин 11 МАЙ - 11 СЕН 2019 c 10:15 до 17:45",2019,pre_2022,https://pushkinmuseum.art/events/archive/2019/exhibitions/venice/index.php?lang=ru
Pushkin Museum,Античное собрание семьи Карисаловых,Античное собрание семьи Карисаловых 26 марта – 12 мая 2019,2019,pre_2022,https://pushkinmuseum.art/events/archive/2019/exhibitions/ancientart/index.php?lang=ru
Pushkin Museum,Воспоминания о Японии. Из коллекции Святослава Рихтера и фондов ГМИИ им. А.С. Пушкина,Воспоминания о Японии. Из коллекции Святослава Рихтера и фондов ГМИИ им. А.С. Пушкина 21 марта – 30 июня 2019,2019,pre_2022,https://pushkinmuseum.art/events/archive/2019/exhibitions/japan/index.php?lang=ru
Pushkin Museum,"Фрэнсис Бэкон, Люсьен Фрейд и Лондонская школа","Фрэнсис Бэкон, Люсьен Фрейд и Лондонская школа 05 марта – 19 мая 2019",2019,pre_2022,https://pushkinmuseum.art/events/archive/2019/exhibitions/london/index.php?lang=ru
Pushkin Museum,Афишемания. Французская реклама конца XIX — начала XX века из собрания ГМИИ им. А.С. Пушкина,Афишемания. Французская реклама конца XIX — начала XX века из собрания ГМИИ им. А.С. Пушкина 21 февраля – 21 апреля 2019,2019,pre_2022,https://pushkinmuseum.art/events/archive/2019/exhibitions/afishemania/index.php?lang=ru
Pushkin Museum,Гости из Неаполя. Артемизия Джентилески и современники. Из Музея и Королевского парка Каподимонте и ГМИИ им. А.С. Пушкина,Гости из Неаполя. Артемизия Джентилески и современники. Из Музея и Королевского парка Каподимонте и ГМИИ им. А.С. Пушкина 01 февраля – 31 марта 2019,2019,pre_2022,https://pushkinmuseum.art/events/archive/2019/exhibitions/gentileschi/index.php?lang=ru
Pushkin Museum,Стражи времени. Керамическая скульптура Древнего Китая,Стражи времени. Керамическая скульптура Древнего Китая 06 декабря 2018 – 17 марта 2019,2019,pre_2022,https://pushkinmuseum.art/events/archive/2018/exhibitions/china/index.php?lang=ru
Pushkin Museum,Пикассо & Хохлова,Пикассо & Хохлова 20 ноября 2018 – 03 февраля 2019,2019,pre_2022,https://pushkinmuseum.art/events/archive/2018/exhibitions/picasso/index.php?lang=ru
Pushkin Museum,Годы странствий Святослава Рихтера. Англия – Америка,Годы странствий Святослава Рихтера. Англия – Америка 24 октября 2018 – 17 февраля 2019,2019,pre_2022,https://pushkinmuseum.art/events/archive/2018/exhibitions/richter/index.php?lang=ru
Pushkin Museum,"«Парижские вечера» баронессы Эттинген. Руссо, Модильяни, Аполлинер, Сюрваж, Фера","«Парижские вечера» баронессы Эттинген. Руссо, Модильяни, Аполлинер, Сюрваж, Фера 25 сентября 2018 – 13 января 2019",2019,pre_2022,https://pushkinmuseum.art/events/archive/2018/exhibitions/oettingen/index.php?lang=ru
Pushkin Museum,Шедевры живописи и гравюры эпохи Эдо,Шедевры живописи и гравюры эпохи Эдо 04 сентября – 28 октября 2018,2018,pre_2022,https://pushkinmuseum.art/events/archive/2018/exhibitions/edo/index.php?lang=ru
Pushkin Museum,Анатомия кубизма,Анатомия кубизма 30 августа – 18 ноября 2018,2018,pre_2022,https://pushkinmuseum.art/events/archive/2018/exhibitions/kubism/index.php?lang=ru
Pushkin Museum,Тадаси Кавамата. На птичьих правах / Para-site Project,Тадаси Кавамата. На птичьих правах / Para-site Project 25 августа – 28 октября 2018,2018,pre_2022,https://pushkinmuseum.art/events/archive/2018/exhibitions/kawamata/index.php?lang=ru
Pushkin Museum,От Тьеполо до Каналетто и Гварди,От Тьеполо до Каналетто и Гварди 24 июля – 05 ноября 2018,2018,pre_2022,https://pushkinmuseum.art/events/archive/2018/exhibitions/vicenza/index.php?lang=ru
Pushkin Museum,Фабрицио Плесси. Душа камня,Фабрицио Плесси. Душа камня 05 июня – 05 августа 2018,2018,pre_2022,https://pushkinmuseum.art/events/archive/2018/exhibitions/plessi/index.php?lang=ru
Pushkin Museum,Родченко и Степанова. Футбол,Родченко и Степанова. Футбол 05 июня – 29 июля 2018,2018,pre_2022,https://pushkinmuseum.art/events/archive/2018/exhibitions/rodchenko/index.php?lang=ru
Pushkin Museum,Скульпторы и livre d'artiste,Скульпторы и livre d'artiste 26 апреля – 02 сентября 2018,2018,pre_2022,https://pushkinmuseum.art/events/archive/2018/exhibitions/livredartiste/index.php?lang=ru
Pushkin Museum,Эпоха Рембрандта и Вермеера. Шедевры Лейденской коллекции,Эпоха Рембрандта и Вермеера. Шедевры Лейденской коллекции 28 марта – 22 июля 2018,2018,pre_2022,https://pushkinmuseum.art/events/archive/2018/exhibitions/rembrandt/index.php?lang=ru
Pushkin Museum,Детство и отрочество Святослава Рихтера,Детство и отрочество Святослава Рихтера 20 марта – 17 июня 2018,2018,pre_2022,https://pushkinmuseum.art/events/archive/2018/exhibitions/richter_chilhood/index.php?lang=ru
Pushkin Museum,Кабинет Директора,Кабинет Директора 02 марта – 26 мая 2018,2018,pre_2022,https://pushkinmuseum.art/events/archive/2018/exhibitions/cabinet/index.php?lang=ru
Pushkin Museum,Post-mortem Monography,Post-mortem Monography 26 февраля – 13 мая 2018,2018,pre_2022,https://pushkinmuseum.art/events/archive/2018/exhibitions/provmyza/index.php?lang=ru
Pushkin Museum,Уильям Генри Фокс Тальбот. У истоков фотографии,Уильям Генри Фокс Тальбот. У истоков фотографии 06 февраля – 08 апреля 2018,2018,pre_2022,https://pushkinmuseum.art/events/archive/2018/exhibitions/talbot/index.php?lang=ru
Pushkin Museum,Передвижники и импрессионисты. На пути в ХХ век,Передвижники и импрессионисты. На пути в ХХ век 30 ноября 2017 – 25 февраля 2018,2018,pre_2022,https://pushkinmuseum.art/events/archive/2017/peredvizhniki_impressionists/index.php?lang=ru
Pushkin Museum,«Годы странствий» Святослава Рихтера. Франция – Италия,«Годы странствий» Святослава Рихтера. Франция – Италия 08 ноября 2017 – 29 января 2018,2018,pre_2022,https://pushkinmuseum.art/events/archive/2017/pilgrimage/index.php?lang=ru
Pushkin Museum,1937/2017. Первая всесоюзная выставка фотоискусства,1937/2017. Первая всесоюзная выставка фотоискусства 07 ноября – 25 декабря 2017,2017,pre_2022,https://pushkinmuseum.art/events/archive/2017/exhibitions/photo19372017/index.php?lang=ru
Pushkin Museum,Хаим Сутин. Ретроспектива,Хаим Сутин. Ретроспектива 24 октября 2017 – 21 января 2018,2018,pre_2022,https://pushkinmuseum.art/events/archive/2017/soutine/index.php?lang=ru
Pushkin Museum,Наука о прекрасном. Преподавание истории искусств в Императорском Московском университете в середине XIX – начале XX века,Наука о прекрасном. Преподавание истории искусств в Императорском Московском университете в середине XIX – начале XX века 11 октября 2017 – 25 января 2018,2018,pre_2022,https://pushkinmuseum.art/events/archive/2017/rggu/index.php?lang=ru
Pushkin Museum,Густав Климт. Эгон Шиле. Рисунки из музея Альбертина (Вена),Густав Климт. Эгон Шиле. Рисунки из музея Альбертина (Вена) 10 октября 2017 – 14 января 2018,2018,pre_2022,https://pushkinmuseum.art/events/archive/2017/albertina/index.php?lang=ru
Pushkin Museum,Цай Гоцян. Октябрь,Цай Гоцян. Октябрь 13 сентября – 12 ноября 2017,2017,pre_2022,https://pushkinmuseum.art/events/archive/2017/october/index.php?lang=ru
Pushkin Museum,Техники гравюры. Ксилография,Техники гравюры. Ксилография 14 августа – 19 ноября 2017,2017,pre_2022,https://pushkinmuseum.art/events/archive/2015/exhibitions/technics/ksilography/index.php?lang=ru
Pushkin Museum,Александр Тышлер. Игра и лицедейство,Александр Тышлер. Игра и лицедейство 14 июля – 17 сентября 2017,2017,pre_2022,https://pushkinmuseum.art/events/archive/2017/exhibitions/tyshler_moscow/index.php?lang=ru
Pushkin Museum,Пантикапей и Фанагория. Две столицы Боспорского царства,Пантикапей и Фанагория. Две столицы Боспорского царства 29 июня – 17 сентября 2017,2017,pre_2022,https://pushkinmuseum.art/events/archive/2017/exhibitions/bospor/index.php?lang=ru
Pushkin Museum,«Памятные древности свеев». Нумизматическая коллекция Элиаса Бреннера (1647–1717) и Павла Григорьевича Демидова (1738–1821),«Памятные древности свеев». Нумизматическая коллекция Элиаса Бреннера (1647–1717) и Павла Григорьевича Демидова (1738–1821) 26 июня 2017 – 08 января 2018,2018,pre_2022,https://pushkinmuseum.art/events/archive/2017/svei/index.php?lang=ru
Pushkin Museum,Recycle Group. Homo virtualis,Recycle Group. Homo virtualis 21 июня – 20 августа 2017,2017,pre_2022,https://pushkinmuseum.art/events/archive/2017/exhibitions/recycle/index.php?lang=ru
Pushkin Museum,«Обитаемые пейзажи» Гарифа Басырова,«Обитаемые пейзажи» Гарифа Басырова 16 июня – 17 сентября 2017,2017,pre_2022,https://pushkinmuseum.art/events/archive/2017/exhibitions/basyrov/index.php?lang=ru
Pushkin Museum,"Венеция Ренессанса. Тициан, Тинторетто, Веронезе. Из собраний Италии и России","Венеция Ренессанса. Тициан, Тинторетто, Веронезе. Из собраний Италии и России 09 июня – 20 августа 2017",2017,pre_2022,https://pushkinmuseum.art/events/archive/2017/venice/index.php?lang=ru
